Question,Answer
Why does the `malloc` library function generally avoid making a system call to the OS for every memory request?,Because system calls and context switches are very slow compared to managing memory within the process's already allocated heap.
"When a block of memory is freed, `malloc` may merge it with adjacent free blocks. What is this process called?",Coalescing.
How does `free(ptr)` know the size of the memory block to deallocate when it is only given a pointer?,The size is stored in a header block located in memory just before the pointer `ptr`.
"In memory management, what is the fundamental difference between how an OS can manage memory and how `malloc` can?","The OS can relocate segments or pages in physical memory, whereas `malloc` cannot relocate allocated blocks because it would invalidate existing pointers in the program."
"In the context of paging, what is a 'page'?","A small, fixed-size block of a process's virtual address space."
"In the context of paging, what is a 'page frame'?","A small, fixed-size block of physical memory, into which a virtual page can be mapped."
The data structure used by the OS to store the mapping between a process's virtual pages and physical page frames is called the _____.,page table
"In a paged system, how is a virtual address translated into a physical address?","The virtual address is split into a Virtual Page Number (VPN) and an offset; the VPN is used to look up the Physical Frame Number (PFN) in the page table, and the offset is added to the start of that frame."
What is the primary benefit of paging over segmentation in terms of memory fragmentation?,Paging effectively eliminates external fragmentation because any free page frame can be used for any virtual page.
"A record in a page table for a single page, containing the PFN and various status bits, is known as a _____.",Page Table Entry (PTE)
What is the function of the 'valid bit' in a Page Table Entry (PTE)?,It indicates whether the page table mapping for that page is valid or if the page has not been allocated by the process.
What is the function of the 'present bit' in a Page Table Entry (PTE)?,It indicates whether the page is currently in physical RAM or has been swapped out to disk.
What are the two main performance and memory overheads associated with simple linear page tables?,"They can consume a large amount of memory for each process, and each memory access by the program requires an additional memory access to read the page table."
What is a Translation-Lookaside Buffer (TLB)?,"A small, fast hardware cache within the MMU that stores recent translations from Virtual Page Numbers (VPNs) to Physical Frame Numbers (PFNs)."
"In the context of a TLB, what is a 'hit'?","A 'hit' occurs when the requested VPN-to-PFN translation is found in the TLB, avoiding a slower lookup in the main memory page table."
"In the context of a TLB, what is a 'miss'?","A 'miss' occurs when the requested VPN-to-PFN translation is not in the TLB, forcing a lookup in the main memory page table."
What programming principle makes TLBs highly effective at reducing memory access latency?,"Locality of reference, as programs tend to access memory locations near previously accessed locations, leading to many TLB hits."
Why must the TLB be managed during a context switch?,"Because the TLB contains address translations for the old process, which are not valid for the new process and could lead to accessing the wrong memory."
What is a simple strategy for handling the TLB on a context switch?,"To flush or clear the entire TLB, allowing it to be refilled with translations for the new process."
What problem do multi-level page tables solve?,"They solve the problem of large, linear page tables consuming excessive, contiguous memory by breaking the page table itself into smaller, page-sized chunks."
"In a two-level page table, what does the 'page directory' contain?",The page directory contains pointers to the various second-level page table pages.
Describe the address translation process in a two-level page table system.,"The VPN is split into a page directory index and a page table index; the first index finds the page table, and the second finds the PFN within that table."
What is the main trade-off of using a multi-level page table compared to a linear one?,It saves memory space but requires more memory accesses for a TLB miss (one for each level of the table).
What is a 'swap space' in an operating system?,A portion of the hard disk or SSD used to store memory pages that have been temporarily removed from physical RAM.
What triggers a 'page fault'?,"A page fault is triggered when a program tries to access a page that is marked as not 'present' in its Page Table Entry, meaning it is currently on disk."
What does the OS do in response to a page fault?,"The OS finds the page in the swap space on disk, loads it into a free frame in physical RAM, updates the page table, and then resumes the process."
The _____ page replacement policy swaps out the page that has been in memory for the longest time.,"First-In, First-Out (FIFO)"
The LRU page replacement policy swaps out which page?,The Least Recently Used (LRU) page.
Why is the optimal page replacement policy impossible to implement in a real system?,"Because it requires knowing which page will be accessed furthest in the future, which is unknowable."
For which access pattern is the LRU page replacement policy least effective?,"A looping-sequential pattern that repeatedly accesses a number of pages just larger than the available memory, causing constant page faults."
What is the 'Clock' page replacement policy?,An approximation of LRU that uses a single 'use' or 'accessed' bit per page to decide which page to swap out.
What information does the `pmap` command provide on a Unix-like system?,"It displays the memory map of a process, showing how its address space is laid out."
"Which Unix-like command can be used to monitor memory, swap, and CPU usage in real-time?","The `vmstat` command (e.g., `vmstat 1`)."
